s_code,s_name,d_name,c_name,enroll12,num_tst_takr12,pct_tst_takr
4030185.0,Templeton Independent Study High,Templeton Unified,San Luis Obispo,26.0,1.0,0.038461538461538464
1930122.0,Century High,Alhambra Unified,Los Angeles,78.0,3.0,0.038461538461538464
114439.0,Mission View Public,William S. Hart Union High,Los Angeles,50.0,2.0,0.04
6119671.0,Tehama eLearning Academy,Tehama County Department of Education,Tehama,25.0,1.0,0.04
2930089.0,NU Tech High,Nevada Joint Union High,Nevada,25.0,1.0,0.04
137117.0,New Day Academy,Whitmore Union Elementary,Shasta,25.0,1.0,0.04
3430626.0,Discovery High,Natomas Unified,Sacramento,74.0,3.0,0.04054054054054054
137794.0,Gorman Learning Center San Bernardino/Santa Clarita,Lucerne Valley Unified,San Bernardino,122.0,5.0,0.040983606557377046
5630249.0,Monte Vista,Simi Valley Unified,Ventura,73.0,3.0,0.0410958904109589
730572.0,Independence High,Liberty Union High,Contra Costa,169.0,7.0,0.04142011834319527
1933308.0,Rancho del Mar High (Continuation),Palos Verdes Peninsula Unified,Los Angeles,24.0,1.0,0.041666666666666664
3030483.0,La Entrada High,Placentia-Yorba Linda Unified,Orange,24.0,1.0,0.041666666666666664
136432.0,Alta Vista Innovation High,Lucerne Valley Unified,San Bernardino,190.0,8.0,0.042105263157894736
111773.0,Family Partnership Charter,Blochman Union Elementary,Santa Barbara,47.0,2.0,0.0425531914893617
1931997.0,Odyssey Continuation,Los Angeles Unified,Los Angeles,23.0,1.0,0.043478260869565216
730473.0,Briones (Alternative),Martinez Unified,Contra Costa,23.0,1.0,0.043478260869565216
5430277.0,Deep Creek Academy,Farmersville Unified,Tulare,46.0,2.0,0.043478260869565216
132654.0,Community Collaborative Charter,Acton-Agua Dulce Unified,Los Angeles,91.0,4.0,0.04395604395604396
124131.0,California Preparatory Academy,Capistrano Unified,Orange,68.0,3.0,0.04411764705882353
102079.0,Murrieta Canyon Academy,Murrieta Valley Unified,Riverside,135.0,6.0,0.044444444444444446
3130119.0,Independence High (Alternative),Roseville Joint Union High,Placer,90.0,4.0,0.044444444444444446
3930344.0,Independence,Lodi Unified,San Joaquin,90.0,4.0,0.044444444444444446
5730098.0,Davis School for Independent Study,Davis Joint Unified,Yolo,22.0,1.0,0.045454545454545456
1996537.0,Desert Sands Charter,Antelope Valley Union High,Los Angeles,88.0,4.0,0.045454545454545456
135095.0,Ernest Kimme Charter Academy for Independent Learning,Vacaville Unified,Solano,44.0,2.0,0.045454545454545456
3731221.0,Pacific View Charter,Oceanside Unified,San Diego,153.0,7.0,0.0457516339869281
4530051.0,Oakview High (Alternative),Anderson Union High,Shasta,43.0,2.0,0.046511627906976744
5630108.0,Conejo Valley High (Continuation),Conejo Valley Unified,Ventura,64.0,3.0,0.046875
134577.0,Audeo Charter II,SBE - Audeo Charter II,San Diego,64.0,3.0,0.046875
6120588.0,Pathways Charter,Harmony Union Elementary,Sonoma,64.0,3.0,0.046875
109751.0,Visalia Charter Independent Study,Visalia Unified,Tulare,232.0,11.0,0.04741379310344827
3737384.0,Sunset High (Continuation),San Dieguito Union High,San Diego,63.0,3.0,0.047619047619047616
5130075.0,Yuba City Independence Academy,Yuba City Unified,Sutter,21.0,1.0,0.047619047619047616
128561.0,Rocklin Independent Charter Academy,Rocklin Unified,Placer,42.0,2.0,0.047619047619047616
1936806.0,Rose City High (Continuation),Pasadena Unified,Los Angeles,104.0,5.0,0.04807692307692308
